StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_106,Process_42,2022-02-17T11:00:56+00:00,Select menu option in window,Firefox - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Firefox - 2 running windows']\n""]",2.0,Open the company's active directory,Event_495,Select menu option in window
1,Recording_106,Process_42,2022-02-17T11:00:58+00:00,Click UI element in window,List Item 'Mozilla Firefox (Private Browsing)' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Mozilla Firefox (Private Browsing)\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 64 OffsetY: 9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",3.0,Open the company's active directory,Event_495,Click UI element in window
2,Recording_106,Process_42,2022-02-17T11:01:00+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Mozilla Firefox (Private Browsing)',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",4.0,Open the company's active directory,Event_495,firefoxPress button in window
3,Recording_106,Process_42,2022-02-17T11:01:07+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)',,,,,,,Populate text field in window
4,Recording_106,Process_42,2022-02-17T11:01:08+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",6.0,Open the company's active directory,Event_495,Send keys
5,Recording_106,Process_42,2022-02-17T11:01:13+00:00,Click UI element in window,Hyperlink 'Office  ... office.com' in Window 'o365 -  ...  (Private Browsing)',firefox,o365 - Google Search — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'o365 -  ...  (Private Browsing)\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 92 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",7.0,Open the company's active directory,Event_495,firefoxClick UI element in window
6,Recording_106,Process_42,2022-02-17T11:01:21+00:00,Select menu option in window,Menu Item 'App launcher' in Window 'Microsoft  ...  (Private Browsing)',firefox,Microsoft Office Home — Mozilla Firefox (Private Browsing),"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  (Private Browsing)\\'']['Menu Item \\'App launcher\\'']\n""]",8.0,Open the company's active directory,Event_495,firefoxSelect menu option in window
7,Recording_106,Process_42,2022-02-17T11:01:24+00:00,Click UI element in window,Hyperlink 'Admin' in Window 'Microsoft  ...  (Private Browsing)',firefox,Microsoft Office Home — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  (Private Browsing)\\'']['Hyperlink \\'Admin\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 39 OffsetY: -5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",9.0,Open the company's active directory,Event_495,firefoxClick UI element in window
8,Recording_106,Process_42,2022-02-17T11:01:35+00:00,Select menu option in window,Menu Item 'Users' in Window 'Microsoft  ...  (Private Browsing)' 2,firefox,Microsoft 365 admin center - Home — Mozilla Firefox (Private Browsing),"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 2']['Menu Item \\'Users\\'']\n""]",10.0,Add the newly appointed employees,Event_496,firefoxSelect menu option in window
9,Recording_106,Process_42,2022-02-17T11:01:38+00:00,Select menu option in window,Menu Item 'Active users' in Window 'Microsoft  ...  (Private Browsing)' 2,firefox,Microsoft 365 admin center - Home — Mozilla Firefox (Private Browsing),"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 2']['Menu Item \\'Active users\\'']\n""]",11.0,Add the newly appointed employees,Event_496,firefoxSelect menu option in window
10,Recording_106,Process_42,2022-02-17T11:01:45+00:00,Select menu option in window,Menu Item 'Add a  ...  key to add a user' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Menu Item \\'Add a  ...  key to add a user\\'']\n""]",12.0,Add the newly appointed employees,Event_496,firefoxSelect menu option in window
11,Recording_106,Process_42,2022-02-17T11:01:54+00:00,Populate text field in window,Edit 'First name' in Window 'Microsoft  ...  (Private Browsing)' 3,,,,,,,Populate text field in window
12,Recording_106,Process_42,2022-02-17T11:02:00+00:00,Populate text field in window,Edit 'Last name' in Window 'Microsoft  ...  (Private Browsing)' 3,,,,,,,Populate text field in window
13,Recording_106,Process_42,2022-02-17T11:02:02+00:00,Click UI element in window,Edit 'Display name *' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Edit \\'Display name *\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 162 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",15.0,Add the newly appointed employees,Event_496,firefoxClick UI element in window
14,Recording_106,Process_42,2022-02-17T11:02:07+00:00,Populate text field in window,Edit 'Username *' in Window 'Microsoft  ...  (Private Browsing)' 3,,,,,,,Populate text field in window
15,Recording_106,Process_42,2022-02-17T11:02:12+00:00,Press button in window,Button 'Next' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Button \\'Next\\'']\n""]",17.0,Add the newly appointed employees,Event_496,firefoxPress button in window
16,Recording_106,Process_42,2022-02-17T11:02:15+00:00,Click UI element in window,Group 'licenses ‎0‎ menu required' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Group \\'licenses \u200e0\u200e menu required\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 35 OffsetY: 37 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",18.0,Add the newly appointed employees,Event_496,firefoxClick UI element in window
17,Recording_106,Process_42,2022-02-17T11:02:17+00:00,Click UI element in window,Group 'licenses ‎0‎ menu required' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Group \\'licenses \u200e0\u200e menu required\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 34 OffsetY: 98 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",19.0,Add the newly appointed employees,Event_496,firefoxClick UI element in window
18,Recording_106,Process_42,2022-02-17T11:02:22+00:00,Press button in window,Button 'Next' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Button \\'Next\\'']\n""]",20.0,Add the newly appointed employees,Event_496,firefoxPress button in window
19,Recording_106,Process_42,2022-02-17T11:02:25+00:00,Press button in window,Button 'Next' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Button \\'Next\\'']\n""]",21.0,Add the newly appointed employees,Event_496,firefoxPress button in window
20,Recording_106,Process_42,2022-02-17T11:02:27+00:00,Press button in window,Button 'Finish adding' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Button \\'Finish adding\\'']\n""]",22.0,Add the newly appointed employees,Event_496,firefoxPress button in window
21,Recording_106,Process_42,2022-02-17T11:02:35+00:00,Press button in window,Button 'Close' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Button \\'Close\\'']\n""]",23.0,Add the newly appointed employees,Event_496,firefoxPress button in window
22,Recording_106,Process_42,2022-02-17T11:02:38+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Microsoft  ...  (Private Browsing)' 3,firefox,Microsoft 365 admin center - Active users — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 3']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",24.0,Go to online form app,Event_497,firefoxPress button in window
23,Recording_106,Process_42,2022-02-17T11:02:43+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)',,,,,,,Populate text field in window
24,Recording_106,Process_42,2022-02-17T11:02:45+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",26.0,Go to online form app,Event_497,Send keys
25,Recording_106,Process_42,2022-02-17T11:02:49+00:00,Click UI element in window,Hyperlink 'Microsoft  ... office.com' in Window 'microsoft  ...  (Private Browsing)' 4,firefox,microsoft form - Google Search — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'microsoft  ...  (Private Browsing)\\' 4']['Hyperlink \\'Microsoft  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -57 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",27.0,Go to online form app,Event_497,firefoxClick UI element in window
26,Recording_106,Process_42,2022-02-17T11:03:00+00:00,Click UI element in window,Hyperlink 'Open  ...  By Name Surname.' in Window 'Microsoft  ...  (Private Browsing)' 5,firefox,Microsoft Forms — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  (Private Browsing)\\' 5']['Hyperlink \\'Open  ...  By Name Surname.\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -26 OffsetY: 22 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",28.0,Go to online form app,Event_497,firefoxClick UI element in window
27,Recording_106,Process_42,2022-02-17T11:03:06+00:00,Press button in window,Button 'Share' in Window 'Survey Form  ...  (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Survey Form  ...  (Private Browsing)\\'']['Button \\'Share\\'']\n""]",29.0,Share the survey form to new joinee,Event_498,firefoxPress button in window
28,Recording_106,Process_42,2022-02-17T11:03:11+00:00,Click UI element in window,UI Custom in Window 'Survey Form  ...  (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'Survey Form  ...  (Private Browsing)\\'']['UI Custom'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -85 OffsetY: -9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",30.0,Share the survey form to new joinee,Event_498,firefoxClick UI element in window
29,Recording_106,Process_42,2022-02-17T11:03:13+00:00,Press button in window,Button 'Copy' in Window 'Survey Form  ...  (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Survey Form  ...  (Private Browsing)\\'']['Button \\'Copy\\'']\n""]",31.0,Share the survey form to new joinee,Event_498,firefoxPress button in window
30,Recording_106,Process_42,2022-02-17T11:03:16+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Survey Form  ...  (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Survey Form  ...  (Private Browsing)\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",32.0,Share the survey form to new joinee,Event_498,firefoxPress button in window
31,Recording_106,Process_42,2022-02-17T11:03:20+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)',,,,,,,Populate text field in window
32,Recording_106,Process_42,2022-02-17T11:03:21+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",34.0,Share the survey form to new joinee,Event_498,Send keys
