StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_109,Process_43,2022-02-18T04:50:46+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",2.0,Login to cloud storage ,Event_507,Select menu option in window
1,Recording_109,Process_43,2022-02-18T04:50:49+00:00,Click UI element in window,List Item 'New Tab - Google Chrome' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -43 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",3.0,Login to cloud storage ,Event_507,Click UI element in window
2,Recording_109,Process_43,2022-02-18T04:50:53+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Name',,,,,,,Populate text field in window
3,Recording_109,Process_43,2022-02-18T04:50:54+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",5.0,Login to cloud storage ,Event_507,Send keys
4,Recording_109,Process_43,2022-02-18T04:50:58+00:00,Click UI element in window,Hyperlink ' Cloud  ... om › drive' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Hyperlink \\' Cloud  ... om › drive\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -65 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",6.0,Login to cloud storage ,Event_507,chromeClick UI element in window
5,Recording_109,Process_43,2022-02-18T04:51:01+00:00,Click UI element in window,Hyperlink 'Go to Drive' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Hyperlink \\'Go to Drive\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -22 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",7.0,Login to cloud storage ,Event_507,chromeClick UI element in window
6,Recording_109,Process_43,2022-02-18T04:51:07+00:00,Click UI element in window,Text 'Employee Salary Details.xlsx' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Text \\'Employee Salary Details.xlsx\\''] ClickType: UIAutomation.ClickType.DoubleClick OffsetX: 25 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",8.0,Get the employee salary data file,Event_508,chromeClick UI element in window
7,Recording_109,Process_43,2022-02-18T04:51:15+00:00,Click UI element in window,Menu Item 'File' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Menu Item \\'File\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 10 OffsetY: 8 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",9.0,Get the employee salary data file,Event_508,chromeClick UI element in window
8,Recording_109,Process_43,2022-02-18T04:51:22+00:00,Click UI element in window,Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Menu'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -27 OffsetY: 16 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10.0,Get the employee salary data file,Event_508,chromeClick UI element in window
9,Recording_109,Process_43,2022-02-18T04:51:25+00:00,Click UI element in window,Menu 2 in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Menu 2'] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: 84 OffsetY: 24 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",11.0,Get the employee salary data file,Event_508,chromeClick UI element in window
10,Recording_109,Process_43,2022-02-18T04:51:35+00:00,Press button in window,Power BI Desktop in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Power BI Desktop']\n""]",12.0,Open the data visualization tool ,Event_509,Press button in window
11,Recording_109,Process_43,2022-02-18T04:51:51+00:00,Press button in window,Button 'Close' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.PressButton Button: appmask['Window \\'Untitled - Power BI Desktop\\'']['Button \\'Close\\'']\n""]",13.0,Open the data visualization tool ,Event_509,PBIDesktopPress button in window
12,Recording_109,Process_43,2022-02-18T04:52:04+00:00,Click UI element in window,MenuItem: Connect to data from multiple sources. Get data in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['MenuItem: Connect to data from multiple sources. Get data'] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 5 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",14.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
13,Recording_109,Process_43,2022-02-18T04:52:07+00:00,Click UI element in window,Text 'Excel workbook' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Text \\'Excel workbook\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: -10 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",15.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
14,Recording_109,Process_43,2022-02-18T04:52:19+00:00,Click UI element in window,Tree Item 'Downloads (pinned)' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Tree Item \\'Downloads (pinned)\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: 0 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",16.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
15,Recording_109,Process_43,2022-02-18T04:52:33+00:00,Set checkbox state in window,"Check Box 'Level 2, Table1' in Window 'Untitled - Power BI Desktop'",PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.SetCheckboxState Checkbox: appmask['Window \\'Untitled - Power BI Desktop\\'']['Check Box \\'Level 2, Table1\\''] CheckboxState: UIAutomation.CheckboxState.UnChecked\n""]",17.0,Make a graphical report of salary data,Event_510,PBIDesktopSet checkbox state in window
16,Recording_109,Process_43,2022-02-18T04:52:35+00:00,Click UI element in window,"Check Box 'Level 2, Table1' in Window 'Untitled - Power BI Desktop'",PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Check Box \\'Level 2, Table1\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: 22 OffsetY: -8 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",18.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
17,Recording_109,Process_43,2022-02-18T04:52:39+00:00,Press button in window,Button 'Load' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.PressButton Button: appmask['Window \\'Untitled - Power BI Desktop\\'']['Button \\'Load\\'']\n""]",19.0,Make a graphical report of salary data,Event_510,PBIDesktopPress button in window
18,Recording_109,Process_43,2022-02-18T04:53:07+00:00,Click UI element in window,Tree Item 'Table Table1' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Tree Item \\'Table Table1\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 7 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",20.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
19,Recording_109,Process_43,2022-02-18T04:53:08+00:00,Click UI element in window,Button in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Button'] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 2 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",21.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
20,Recording_109,Process_43,2022-02-18T04:53:13+00:00,Click UI element in window,Check Box in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Check Box'] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -3 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",22.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
21,Recording_109,Process_43,2022-02-18T04:53:15+00:00,Click UI element in window,Check Box 2 in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Check Box 2'] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 4 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",23.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
22,Recording_109,Process_43,2022-02-18T04:53:18+00:00,Click UI element in window,Tree Item 'Numeric Field 2021' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Tree Item \\'Numeric Field 2021\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: 34 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",24.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
23,Recording_109,Process_43,2022-02-18T04:53:26+00:00,Drag and drop UI element in window,Check Box 3 in Tree Item ' Employee Name' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.DragAndDropElement MouseDownOffsetY: 1 MouseDownOffsetX: 25 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDrag: appmask['Window \\'Untitled - Power BI Desktop\\'']['Tree Item \\' Employee Name\\''] MouseUpOffsetY: 1 MouseUpOffsetX: 1 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDropOver: appmask['Window \\'Untitled - Power BI Desktop\\'']['Check Box 3'] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",25.0,Make a graphical report of salary data,Event_510,PBIDesktopDrag and drop UI element in window
24,Recording_109,Process_43,2022-02-18T04:53:37+00:00,Click UI element in window,Document 'Chrome_RenderWidgetHostHWND' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Document \\'Chrome_RenderWidgetHostHWND\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -311 OffsetY: 221 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",26.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
25,Recording_109,Process_43,2022-02-18T04:53:47+00:00,Click UI element in window,"Group '2019, 2020  ...  column chart' in Window 'Untitled - Power BI Desktop'",PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.Click Element: appmask['Window \\'Untitled - Power BI Desktop\\'']['Group \\'2019, 2020  ...  column chart\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: 10 OffsetY: 18 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",27.0,Make a graphical report of salary data,Event_510,PBIDesktopClick UI element in window
26,Recording_109,Process_43,2022-02-18T04:54:10+00:00,Drag and drop UI element in window,Group 'Power BI Report' in Window 'Untitled - Power BI Desktop',PBIDesktop,Untitled - Power BI Desktop,"[""UIAutomation.DragAndDropElement MouseDownOffsetY: -47 MouseDownOffsetX: 169 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDrag: appmask['Window \\'Untitled - Power BI Desktop\\'']['Group \\'Power BI Report\\''] MouseUpOffsetY: -1 MouseUpOffsetX: -10 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDropOver: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Download\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",28.0,Make a graphical report of salary data,Event_510,PBIDesktopDrag and drop UI element in window
27,Recording_109,Process_43,2022-02-18T04:54:25+00:00,Populate text field in window,Edit 'File name:' in Pane 'New Tab - Google Chrome - Name',,,,,,,Populate text field in window
28,Recording_109,Process_43,2022-02-18T04:54:29+00:00,Click UI element in window,Button 'Save' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Save\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -24 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",30.0,Save the report,Event_511,chromeClick UI element in window
29,Recording_109,Process_43,2022-02-18T04:54:36+00:00,Press button in window,Button 'New Tab' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'New Tab\\'']\n""]",31.0,Login to Mailbox,Event_512,chromePress button in window
30,Recording_109,Process_43,2022-02-18T04:54:40+00:00,Click UI element in window,Hyperlink 'Gmail' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Hyperlink \\'Gmail\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: -2 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",32.0,Login to Mailbox,Event_512,chromeClick UI element in window
31,Recording_109,Process_43,2022-02-18T04:54:45+00:00,Press button in window,Button 'Compose' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Compose\\'']\n""]",33.0,Send graph via mail to superior ,Event_513,chromePress button in window
32,Recording_109,Process_43,2022-02-18T04:54:48+00:00,Click UI element in window,Combo Box 'To' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Combo Box \\'To\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 65 OffsetY: -7 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",34.0,Send graph via mail to superior ,Event_513,chromeClick UI element in window
33,Recording_109,Process_43,2022-02-18T04:54:50+00:00,Send keys,TextToSend:'Name',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: 'Name'\n""]",35.0,Send graph via mail to superior ,Event_513,Send keys
34,Recording_109,Process_43,2022-02-18T04:54:53+00:00,Click UI element in window,List Item 'Email@Domain' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['List Item \\'Email@Domain\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -4 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomRight\n""]",36.0,Send graph via mail to superior ,Event_513,chromeClick UI element in window
